Label,Mail
0,"gala ' 95 : call for papers groningen assembly on language acquisition 1995 university of groningen the netherlands 7 - 9 september 1995 the conference aims to bring together researchers willing to discuss the merits and constraints of different theoretical approaches to language acquisition , in particular generative linguistics , constructionism , dynamic systems modelling , and connectionism . invited speakers harald clahsen university of essex annette karmiloff - smith mrc london kim plunkett university of oxford luigi rizzi university of geneva paul van geert university of groningen abstract submissions abstracts may cover all aspects of language acquisition relating to the core areas of linguistics , including phonology , morphology , syntax , semantics and the interfaces . selection of abstracts will be based on not only their quality but also their potential to contribute to the conference 's interactive objective . abstract submissions should include : 1 . five ( 5 ) copies of a one-page , double-spaced abstract of the paper ( no posters ) , preferably in 12 - point font or type , with a title . omit name and affiliation . reviewing will be anonymous . 2 . a 10cm by 15cm ( or 3 "" by 5 "" ) card with the title of the paper , the name ( s ) of the author ( s ) , affiliation , mailing address , and e-mail address . also specify any necessary av equipment . abstracts should provide a complete overview of the research that will be presented : a statement of the main hypotheses , a brief account of the method , data gathering and results , and a summary of the conclusions reached . the deadline for abstract submissions is april 15 , 1995 . any submissions that arrive after this date will not be accepted . abstracts should be sent to : gala 1995 university of groningen department of linguistics postbus 716 9700 as groningen the netherlands inquiries should be sent to the above address , or by e-mail to : gala95 @ let . rug . nl . up to date information with regard to the conference , including registration information , can also be found at : http : / / www . let . rug . nl / linguistics / events / gala / this document can be retrieved from the above www site or through ftp , via anonymous log-in to : tyr . let . rug . nl , / pub / linguistics / events / gala please note : abstract submissions via e-mail will not be accepted ! = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - =
"
0,"bu conf on language development ' 95 - announcement 20th annual boston university conference on language development november 3 , 4 , 5 , 1995 keynote speaker : lila gleitman plenary speaker : lydia white sessions include first and second language acquisition of syntax , morphology , phonology , lexical and conceptual knowledge , discourse , narrative and literacy , social and cultural aspects of language use , as well as exceptional language , language processing , and bilingualism . ninety papers are scheduled to be presented . all conference sessions will be held on the boston university campus in the george sherman union , 775 commonwealth avenue , boston . * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * for more information : a preliminary program , pre-registration form , and information about hotels , discounts on domestic air fares , and child care arrangements , are available via e-mail . if you send a message to info @ louis-xiv . bu . edu you will receive an automated reply that contains these materials . these materials are also sent by regular mail to those who are on our mailing list ( speakers are urged to wait to pre-register until they receive that mailing ) . anyone who plans to attend the conference is advised to make hotel arrangements as soon as possible . if you have any questions , or if you would like to add your address to our regular mailing list or inform us of a change in address , please send e-mail to langconf @ louis-xiv . bu . edu , phone 617-353 - 3085 , or write to : boston university conference on language development 138 mountfort street brookline , ma 02146-4083 * * should you find yourself on the conference schedule , and you have not yet received an acceptance letter concerning details , please contact us by e-mail immediately so that we can send you a virtual copy of the details . we mailed out our reply letters to all authors on every submission on aug . 11th , but as of the 24th , many submitters had still not received their letters . we apologize for the inconvenience .
"
0,"korean software for macintosh dear sir / madam , would you please send me any information about korean software for macintosh , iatl proceedings ?
"
0," syntax the antisymmetry of syntax richard s . kayne linguistic inquiry monograph twenty - five the mit press $ 17 . 95 paper , $ 35 . 95 cloth to order : < mitpress-orders @ mit . edu > or 800 . 356 . 0343 or 617 . 625 . 8569 prposes a restrictive theory of word order and phrase structure , where the latter always entirely determines linear order . available for discussion . semantics unaccusativity at the syntax - lexical semantics interface by beth levin and malka rappaport hovav linguistic inquiry monograph twenty - six the mit press $ 19 . 95 paper , $ 39 . 95 cloth to order : < mitpress-orders @ mit . edu > or 800 . 356 . 0343 or 617 . 625 . 8569 builds on theory of lexical semantic representation , and elucidates mapping from lexical semantics to syntax . available for discussion .
"
0,"simultaneous prepositions and postpositions in pashto i ' m looking for analyses of nominal constructions ( in any language ) in which the np has _ both _ a preposition and a postposition . for example , pashto has constructions like the following , from herbert penzl , _ a grammar of pashto _ ( washington , d . c . : american council of learned societies , 1955 ) , p . 41 : we sarri te to man to ' to the man ' the preposition is sometimes optional , though the postposition is obligatory . since pashto is head-final ( the unmarked word order is sov ) , it 's tempting to take the postposition at face-value . however , there are some binding facts that suggest that a phrase containing an np + postposition is referential , and so it might be possible to analyze the postposition as some kind of case marker . i understand that there may be such a distinction between homophonous case markers and postpositions in japanese , for example . i 'd be grateful if anyone could suggest any articles that deal with these constructions . and if there are other linguists who are studying pashto , i 'd like to hear from you . thanks for any help ! taylor roberts < troberts @ mit . edu >
"
0,"sum : imperatives without you subjects content - length : 3573 summary of responses to my query on imperatives without you subjects my original query asked for references and suggestions concerning apparent imperatives with indefinite noun phrase subjects like : do n't anybody move . all the band members leave the room now . all in favor say "" aye . "" many thanks to all the respondents : suzanne kemmer , susan fischer , bob frank , jussi karlgren , steven schaufele , larry horn , arnold zwicky , alan huffman , christer platzack , marie egan , michael flier , bruce nevin , kripka sundar , and rosta , kimberly weiss , bruce downing , anton sherwood , bernard comrie , inger rosengren , chase wrenn , peter coopmans horn , fischer and flier suggested checking the subject status of anybody , all etc by looking at tags , where it seems that the under - lying you reappears , whereas tags with anybody and all sound bad . do n't anybody move , will you / * will they ? all in favor say "" aye , "" won't you / * won't they ? this correlates with the fact that the indefinites can be understood as specifying the reference of you such that anybody equates with ' any one of you ' , all with ' all of you ' and so on . in a similar vein , rosta , sundar , schaufele and comrie suggest that anybody and all are the lexical realization of a pragmatic addressee you and a presupposed agent you . weiss , nevin and sherwood analyze the examples as containing a vocative anybody and all with a corresponding regular 2nd person imperative . huffman and wrenn see these apparent imperatives as subjunctive sentences , so that the occurrence of anybody and all does n't require any special comment . egan and karlgren point out the existence of 1st and 3rd person imperatives in greek and german . thus in german : gehen wir ins kino roughly ' let 's go to the movies ' contains 1st person plural wir ' we ' with imperative gehen . this too would suggest that imperatives with 3rd person subjects present no anomaly . these respondents and others mentioned above cited the references below . downing , bruce . 1969 . vocatives and 3rd - person imperatives in english . papers in linguistics 1 , 3 : 570-92 . zwicky , arnold . 1987 . rev . of davis . the english imperative . linguistics 25 , 4 : 805-810 . zwicky , a . 1988 . on the subject of bare imperatives in english . on language % stockwell festschrift % , ed . by duncan - rose et al . croom helm . beukema , f . & p . coopmans . 1989 . a gb perspective on the imperative in english . journal of linguistics 25 : 417-36 . zanuttini . 1991 . u of pennsylvania dissertation . platzack , chr . & i . rosengren . 1994 . on the subject of imperatives . sprache & pragmatics . to appear . takahashi , hide . to appear . language sciences . thank you to all who responded . once i ' ve had a look at the various references , i may offer a further comment to linguist . best wishes , neal norrick tb0nrn1 @ mvs . cso . niu . edu
"
0,"policies moderators ' message a very happy 1995 to all our subscribers ! as you can see , linguist is back on line - - on the 8th , not the 5th as we had hoped , but we are now up and running at our new address . remember : those of you who post to linguist @ tamvm1 . tamu . edu can continue to use that address . but those of you who used to post to linguist @ tamsun . tamu . edu must change either to the . . . tamvm1 address or to linguist @ tam2000 . tamu . edu the latter is our new editorial address . the . . . tamsun address is now worse than useless : the machine itself has been taken off line by texas a&m , so any messages sent there will simply disappear into an internet black hole . they will not be forwarded to us . the new year 's issues start with this issue : 6 . 1 . however , the listserv swallowed some of the issues we posted on dec . 20 and is just now sending them out . so you probably received some issues of volume 5 ( 1994 ) only today . this is not what we intended - - indeed , we worked hard to clear the mailer and post all the messages we had received before we shut down on dec 21 . we realize that some of them had deadlines . however , listserv malfunctions are simply not within our control . the texas a&m sysop took a long ( well-deserved ) ( and , we hope , energizing ) christmas vacation . and , until his return , the listserv would not free the issues we had posted . and that , by a lightening transition , brings us to a few remarks on maintaining free discussion on linguist . as linguist grows , it becomes potentially more powerful - - some might say "" threatening "" - - by virtue of its role as an information source . it 's natural that controversial policies and postings should generate concern ; and last year we received a number of complaints , protests , and editorial suggestions . we tried to respond to every message individually ; but we 'd also like to publicly explain our policies and our current thinking about some of the issues that arose . if any of you care to respond , we can continue this discusson on linguist . * we received several requests that we check the accuracy of controversial claims and allegations before we post them . however reasonable this sounds , unfortunately it simply is n't possible . linguist processes 50-70 messages a day ; last year we assembled and posted 1600 issues ( as those of you with overfull mailboxes know ! ) ; and we get over 1000 database requests a week , about 1 / 4 of which require some kind of administrative interchange . we ask our 3 student editors to check messages for civility ( more on this below ) ; but they do n't have time to check anything which is not immediately before them on the screen . so there is no way that we can strive for the standards of accuracy of paper journals . and , of course , we aren ' t a journal ; we ' re a discussion list . the only effective check on the accuracy of any posting is the discussion itself . so the moral is : - - read with a little scepticism - - and , if you see an inaccuracy , post a correction * the preceding applies , of course , to _ professional _ content in postings ; we can't be responsible for the accuracy of anyone 's claims about the number of words for "" snow . "" nor - - and this is the problematic area - - can we check claims about anyone 's or any institution 's decisions , opinions , or conduct . we will make every effort to ensure that any such posting has professional relevance , is temperate in phrasing , and ( if at all possible ) does not mention names . we also try not to publicize controversies having only personal relevance , since we do n't want linguist to become simply a forum for private grievances . but more than that we can't do . * about more widespread grievances : we have gotten many protests about cutting off discussions that criticize specific schools of linguistics . our problem with some of these has been that the criticisms were anecdotal , ( sometimes ) devoid of academic content , and sounded personally aggrieved ( see above ) . also , adherents of the schools under attack were telling us they no longer felt welcome on the list . so - - not wanting linguist to become a grievance forum or a cause of unnecessary divisiveness in the discipline - - we cut off the discussions . but we admit that there are good arguments on the side of free speech . so we have decided at least not to cut off discussions abruptly . instead , we will warn "" next - to-last posting on x "" before we send out a "" last posting "" message . and we will post any responses on x received in the interim . also , we 'd like to reiterate that any discussion that could compare schools or theories and stick to the academic issues would be very welcome . we are not committed to protecting any school from _ scholarly _ criticism ; and , in fact , we would tell any protestors that this is a discussion list , and if they feel attacked they must defend themselves through discussion . * about civility : we never intended to become a kind of electronic miss manners , and , frankly , it often feels like a very strange role for your uncouth moderators . however , we ' re committed to keeping postings civil in tone because ( 1 ) more than one academic list has ( literally ) gone down in flames - - i . e . , the list has disbanded because the discussions got too personal and heated ; and ( 2 ) , as much as possible , we 'd like everyone - - not just the brave or foolhardy - - to feel comfortable entering a linguist discussion . so we do occasionally return postings with a request that the writer revise toward a less-inflammatory tone . ( we realize , of course , that what is / is not inflammatory is a judgment call ; and our judgment may be wrong . ) however , we have returned very few postings ; and - - interestingly - - we have never received anything but cooperation from the writers . * * * * * * so - - as we ' ve said before - - we think linguist subscribers , all 5700 of you , are a remarkably reasonable , tolerant , and generous set of people . if you have comments or suggestions about the editorial policies we ' ve sketched out above , we would like to hear them . have a very happy new year ! - helen & anthony
"
0,"* * * correction to hellenistic greek announcement a couple of days ago i send an fyi on hellenistic greek linguistics resources . if you have not yet sent it out , would you be able to correct the url given from http : / / tartarus . uwa . edu . au / hgrk to : http : / / www . uwa . edu . au / hgrk many thanks . james k . tauber ( jtauber @ tartarus . uwa . edu . au ) 4th year honours student , centre for linguistics university of western australia , wa 6009 , australia
"
0,"question on audio samples i am looking for audio samples of english speech spoken by non-native english speakers for some work in speech processing . i saw the posting by l . hiliman dated 8 / 3 / 95 dealing with english dialects . would anyone have any further suggestion regarding where i could find samples of english spoken with a foreign accent ? i will post responses to this query on the linguist list . thanks , monique fargues ece depart . naval postgraduate school monterey , ca 93943 , usa
"
0,"sexism and language re lydie e . meunier 's latest , i did not mean to say that i consider oppression of any kind to be of no importance , but merely that in studying linguistic usages it is of no importance ( or at least less importance , ok ? ) what the real situation re oppression and the like is than what people perceive it to be . if ( as some seem to believe ) there is no oppression of women by men , i meant to say , that would not be what we would want to know in order to explain sexist language , so long as people believe that men are better , stronger , or whatever , so long as people believe that men are and deserve to be dominant and / or more prominent in public life , etc . because even if these things were not true ( although i think by large they obviously are ) , so long as people believe they are ( and certainly all cultures i am familiar with do ) , then that would suffice to explain sexist language . in the same way , we as linguists need not discuss the existence of god in order to be able to say that certain linguistic usages seem to be derived from such a belief . so , yes , i do believe women have been and continue to be oppressed in various ways , i am astounded that there are people who would deny it , but i also would say that in order to explain sexist language , that is not what we need to discuss . alexis manaster ramer
"
0,"teaching english in korea teaching english in korea the language center of the chonnam national university is looking for efl instructors . at present we have twelve full-time instructors : three koreans , one japanese and eight native speakers of english with degrees in tesl . in 1995 we plan to employ three or more english teachers , preferably native speakers of english . we will provide instructors with : 1 . housing on or off campus 2 . settlement allowance of us $ 500 3 . payment of us $ 19 , 000 for 630 teaching hours a year and payment of $ 30 for one additional hour of teaching 4 . health insurance 5 . assistant professorship and additional monthly payment of $ 125 to those with doctoral degree in tesl . we require the following documents : 1 . curriculum vitae 2 . documents for m . a . degree in esl / efl 3 . two letters of recommendation * . interns need recommendations from his / her own institute . each session begins january , march , may , july , september , and november . so you have some flexibility in selecting the time to come all the year round . we are also interested in getting applicants for internship program . interns will be teaching three hours a day ( m - f ) either one or two sessions . we will provide the interns with homestay and round-trip airfare . gyonggu shin , professor of english director , language research center chonnam national university kwangju 500-757 , korea office : 82-62 - 520-7920 fax : 82-62 - 526-5521 email : gshin @ rs6 . chonnam . ac . kr lrc @ rs6 . chonnam . ac . kr
"
